"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","pos2_person_id","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pos1_person_id","pos2_person_id","pos3_person_id","pos4_person_id","pos5_person_id","pos6_person_id","pos7_person_id","pos8_person_id","pos9_person_id","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value"
"SI","2017-05-21","91.0","2.2816","5.4805","Chris Iannetta",571976,519008,"null","swinging_strike",,,,,"6","null","R","R","L","SD","ARI","S","null","null",2,0,2017,"-0.8006","0.2935","0.2817","2.8175","null","null","642707.00",1,8,"Bot","null","null",,,455104,,"170521_223829",,,,,,,"3.5802","1.7815","null","null","null","89.9320","2120","5.3750",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"55.1235","0.000","0.000","null","null","null","null"
"SI","2017-05-21","90.5","2.2652","5.4868","Chris Iannetta",571976,519008,"null","ball",,,,,"13","null","R","R","L","SD","ARI","B","null","null",1,0,2017,"-1.0067","0.1077","-0.9974","0.8894","null","null","642707.00",1,8,"Bot","null","null",,,455104,,"170521_223806",,,,,,,"3.6193","1.7346","null","null","null","88.9070","2078","5.5820",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.9166","0.000","0.000","null","null","null","null"
"CH","2017-05-21","84.4","2.3223","5.6754","Chris Iannetta",571976,519008,"null","ball",,,,,"14","null","R","R","L","SD","ARI","B","null","null",0,0,2017,"-0.9096","-0.0293","0.6341","1.3902","null","null","642707.00",1,8,"Bot","null","null",,,455104,,"170521_223744",,,,,,,"3.4863","1.6485","null","null","null","82.8690","1694","5.6490",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.8495","0.000","0.000","null","null","null","null"
"SI","2017-05-21","89.7","2.3180","5.4644","Chris Iannetta",642707,519008,"force_out","hit_into_play",,,,,"5","Allen Cordoba grounds into a force out, third baseman Jake Lamb to second baseman Brandon Drury.   Manuel Margot out at 2nd.    Allen Cordoba to 1st.  ","R","R","L","SD","ARI","X","5","ground_ball",0,0,2017,"-0.9698","-0.0651","0.1411","2.6370","null","null","622534.00",0,8,"Bot","103.38","168.70",,,455104,,"170521_223702",,,,,,,"3.6394","1.7871","223","69.8","17.7310","88.8080","2006","5.4620",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"55.0362","0.796","0.736","0.00",1,0,0
"SI","2017-05-21","91.2","2.3110","5.4929","Chris Iannetta",622534,519008,"field_error","hit_into_play_no_out",,,,,"13","Manuel Margot reaches on a fielding error by shortstop Nick Ahmed.  ","R","R","L","SD","ARI","X","6","ground_ball",1,0,2017,"-1.1213","0.2546","-0.0898","1.6189","null","null","null",0,8,"Bot","88.66","98.00",,,455104,,"170521_223531",,,,,,,"3.6375","1.8107","null","82.9","-20.6990","89.9600","2088","5.6930",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"54.8060","0.075","0.069","0.00",1,0,0
"SI","2017-05-21","91.0","2.4566","5.6177","Chris Iannetta",622534,519008,"null","ball",,,,,"12","null","R","R","L","SD","ARI","B","null","null",0,0,2017,"-1.1289","0.2910","1.6863","3.0708","null","null","null",0,8,"Bot","null","null",,,455104,,"170521_223513",,,,,,,"3.6341","1.8341","null","null","null","89.1500","2009","5.3700",490748,519008,455104,502671,592273,571875,605113,630111,453923,572008,"55.1285","0.000","0.000","null","null","null","null"
"CU","2017-05-21","84.7","-1.5598","5.8393","Chris Iannetta",453385,643327,"field_out","hit_into_play",,,,,"8","Clayton Richard grounds out, second baseman Brandon Drury to first baseman Paul Goldschmidt.  ","R","L","R","SD","ARI","X","4","ground_ball",3,2,2017,"0.0324","-1.0371","-0.2636","2.4614","null","null","null",2,7,"Bot","145.54","142.08",,,455104,,"170521_222534",,,,,,,"3.7468","1.9473","104","77.9","6.2210","83.1610","2302","5.3110",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"55.1872","0.316","0.294","0.00",1,0,0
"CU","2017-05-21","84.7","-1.7032","5.6914","Chris Iannetta",453385,643327,"null","ball",,,,,"14","null","R","L","R","SD","ARI","B","null","null",2,2,2017,"0.7285","-1.0193","0.1971","-0.0091","null","null","null",2,7,"Bot","null","null",,,455104,,"170521_222504",,,,,,,"3.4212","1.8637","null","null","null","83.5570","2240","5.5060",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.9923","0.000","0.000","null","null","null","null"
"SI","2017-05-21","91.3","-2.0755","5.5496","Chris Iannetta",453385,643327,"null","foul",,,,,"14","null","R","L","R","SD","ARI","S","null","null",2,1,2017,"1.2896","0.3716","0.3112","1.7245","null","null","null",2,7,"Bot","null","null",,,455104,,"170521_222446",,,,,,,"3.7088","2.0176","null","null","null","89.5710","2209","5.7900",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.7090","0.000","0.000","null","null","null","null"
"SI","2017-05-21","91.2","-2.1709","5.4649","Chris Iannetta",453385,643327,"null","ball",,,,,"14","null","R","L","R","SD","ARI","B","null","null",1,1,2017,"1.2764","0.4318","0.9040","2.5057","null","null","null",2,7,"Bot","null","null",,,455104,,"170521_222427",,,,,,,"3.7654","2.0280","null","null","null","89.7640","2279","5.7520",490748,643327,455104,502671,592273,571875,605113,630111,453923,572008,"54.7469","0.000","0.000","null","null","null","null"
